quartz
gold
cretaceous
iron
tertiary
lead
copper
dolomite
biotite
silver
jurassic
triassic
hornblende
miocene
plagioclase
pyrite
paleozoic
calcite
zinc
cambrian
eocene
feldspar
devonian
quaternary
pleistocene
permian
vanadium
galena
chlorite
pennsylvanian
ice
mesozoic
mississippian
precambrian
ordovician
magnetite
gypsum
pliocene
manganese
garnet
mica
silurian
albite
oligocene
cenozoic
carboniferous
epidote
holocene
muscovite
sphalerite
lime
chalcopyrite
zircon
magnesium
proterozoic
pyroxene
hematite
apatite
mercury
tin
platinum
chromite
olivine
arsenic
diamond
boron
molybdenum
nickel
sulphur
kaolinite
phosphorus
paleocene
cobalt
opal
titanium
helium
chromium
tungsten
ilmenite
neogene
montmorillonite
halite
anhydrite
selenium
cadmium
archean
rutile
zeolite
talc
graphite
goethite
monazite
illite
spinel
palladium
aragonite
silicon
phanerozoic
smectite
julian
charcoal
ruthenium
osmium
carbonyl
bronze
urea
iodine
neoproterozoic
