lead
ice
iron
quartz
gold
copper
zinc
silver
phosphorus
zircon
calcite
mercury
silicon
olivine
dolomite
garnet
diamond
arsenic
feldspar
magnesium
plagioclase
urea
biotite
nickel
pyrite
manganese
cadmium
sulphur
carbonyl
magnetite
tin
lime
mica
graphite
iodine
boron
chlorite
apatite
platinum
titanium
pyroxene
cobalt
hornblende
charcoal
zeolite
gypsum
chromium
helium
selenium
kaolinite
spinel
palladium
hematite
muscovite
illite
bronze
smectite
albite
molybdenum
aragonite
montmorillonite
chalcopyrite
monazite
goethite
tungsten
vanadium
ilmenite
epidote
rutile
galena
ruthenium
sphalerite
opal
talc
anhydrite
halite
chromite
osmium
cretaceous
quaternary
holocene
pleistocene
miocene
jurassic
tertiary
triassic
precambrian
eocene
permian
mesozoic
paleozoic
cenozoic
devonian
cambrian
pliocene
ordovician
carboniferous
proterozoic
oligocene
archean
silurian
neogene
neoproterozoic
paleocene
pennsylvanian
julian
mississippian
phanerozoic
